IndicatorCode,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM
YEAR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GHA,14.0,0.0,17.0,0.0,,,129.0,,,,,,,,,,154.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
GNB,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,2.0,0.0,6.0,4.0,7.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,0.0,2.0,12.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,48.0,35.0,48.0,30.0,28.0,28.0,41.0,47.0,75.0,82.0,64.0,57.0,83.0,51.0,22.0,34.0,24.0,,39.0,34.0,1.0,3.0,6.0,2.0,5.0,2.0,2.0,5.0,0.0,,0.0,0.0
GTM,1243.0,602.0,287.0,494.0,519.0,410.0,549.0,572.0,664.0,258.0,562.0,835.0,775.0,1044.0,1167.0,1121.0,836.0,1134.0,869.0,524.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
GUY,7.0,6.0,6.0,14.0,9.0,15.0,15.0,7.0,4.0,64.0,132.0,396.0,20.0,27.0,19.0,12.0,3.0,5.0,10.0,8.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
HND,1574.0,1300.0,855.0,1759.0,1502.0,1362.0,1736.0,1927.0,2074.0,1936.0,2040.0,2671.0,1854.0,1636.0,1985.0,1467.0,1119.0,1580.0,1194.0,586.0,,,0.0,0.0,,,,0.0,0.0,,,,7.0,9.0,4.0,3.0,3.0,7.0,7.0,0.0,3.0,2.0,6.0,7.0,8.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,,,,,,,,0.0
HRV,2.0,1.0,5.0,3.0,,,1.0,2.0,5.0,,4.0,2.0,,1.0,1.0,,,,,,0.0,,,0.0,,0.0,0.0,,,,,,7.0,6.0,4.0,4.0,1.0,,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,
HUN,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
IND,152.0,114.0,156.0,172.0,187.0,,139.0,146.0,172.0,72.0,,,,,,,,,,,0.0,,,,,,,,,,,,32803.0,39173.0,44533.0,33598.0,24213.0,28382.0,33155.0,20572.0,13851.0,9241.0,8500.0,6249.0,5758.0,4360.0,2822.0,2040.0,1187.0,777.0,538.0,464.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
