IndicatorCode,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,UHC_AVAILABILITY_SCORE,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.38001554672727,,15.0173591970625,15.677359032550001,14.990022397050002,18.5412809848125,15.546569705125,11.486385762687501,12.05635112525,9.9241662323125,11.8014426529375,20.1009550690625,16.1188908219375,17.3421395420625,16.6434483230625,18.555987011272727,21.475697950818184,22.47491965295,20.907762527545454,19.923871278900002,24.22198667525,22.2296251775,,,,,62.0,57.0,58.0,58.0,59.0,59.0,59.0,61.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,70.0,70.0,71.0,71.0,70.0,71.0,71.0,71.0,71.0,69.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,96.0,97.0,98.0,99.0,98.0,98.0,94.0,94.0,94.0,94.0,94.0,83.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,41.0,41.0,42.0,42.0,43.0,43.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,33.0,34.0,34.0,34.0,35.0,35.0,38.0,40.0,43.0,46.0,48.0,50.0,53.0,55.0,56.0,58.0,59.0,60.0,60.0,60.0,61.0,61.0,61.0,62.0
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,76.0,76.0,76.0,77.0,77.0,78.0,78.0,78.0,77.0,79.0,79.0,79.0,81.0,82.0,83.0,83.0,83.0,82.0,79.0,79.0,80.0,80.0,81.0,81.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,77.0,80.0,83.0,79.0,90.0,90.0,95.0,95.0,93.0,89.0,75.0,77.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,91.0,92.0,93.0,94.0,94.0,95.0,96.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,63.0,63.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,66.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,79.0
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,84.0,85.0,85.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,99.0,100.0,100.0,100.0,100.0,97.0,97.0,97.0,96.0,96.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,61.0,62.0,63.0,65.0,66.0,66.0,67.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,74.0,74.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.663874036999999,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,79.0,80.0,81.0,82.0,82.0,83.0,83.0,83.0,82.0,81.0,82.0,83.0,84.0,84.0,84.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,99.0,98.0,97.0,97.0,95.0,95.0,88.0,84.0,88.0,88.0,89.0,88.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31.0,33.0,35.0,37.0,39.0,41.0,43.0,44.0,46.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0,84.0,85.0,85.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5200713038,10.365235686350001,8.5184063792,8.290348529800001,,,,,,,,,,,,,,,,,,,,64.0,54.0,54.0,54.0,54.0,55.0,55.0,56.0,57.0,57.0,58.0,58.0,61.0,62.0,63.0,63.0,64.0,65.0,65.0,65.0,66.0,67.0,67.0,67.0,67.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,92.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,94.0,93.0,87.0,68.0,69.0,70.0,71.0,72.0,74.0,75.0,76.0,78.0,79.0,80.0,82.0,83.0,85.0,86.0,87.0,89.0,90.0,92.0,93.0,94.0,96.0,97.0,98.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,54.0,55.0,56.0,57.0,57.0,58.0,58.0,59.0,59.0,59.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,32.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,32.0,33.0,34.0,34.0,35.0,35.0,35.0,36.0,36.0,36.0,37.0,37.0,38.0
BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.90414785263636,,,,,,,,66.64088205854546,,,,,,,49.08518734845455,,,,,,,,,,,,50.0,24.0,25.0,25.0,24.0,23.0,24.0,31.0,37.0,38.0,39.0,40.0,42.0,47.0,45.0,50.0,49.0,47.0,46.0,46.0,49.0,48.0,45.0,48.0,48.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,29.0,25.0,30.0,29.0,31.0,24.0,23.0,30.0,32.0,29.0,28.0,26.0,9.0,9.0,10.0,8.0,7.0,8.0,20.0,35.0,36.0,39.0,41.0,47.0,48.0,47.0,59.0,57.0,43.0,51.0,50.0,52.0,44.0,36.0,51.0,51.0,48.0,50.0,51.0,53.0,54.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,69.0,69.0,70.0,37.0,37.0,37.0,38.0,38.0,38.0,41.0,43.0,45.0,48.0,51.0,52.0,53.0,54.0,54.0,54.0,55.0,55.0,54.0,55.0,55.0,55.0,55.0,55.0
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.03972188825,,,,,,,,,,,,,,,,69.0,81.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,84.0,84.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,86.0,85.0,85.0,86.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,94.0,93.0,94.0,94.0,94.0,94.0,93.0,94.0,93.0,88.0,86.0,91.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,55.0,56.0,56.0,57.0,58.0,58.0,59.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,63.0,64.0,64.0,64.0,65.0,65.0,65.0,66.0,88.0,88.0,89.0,89.0,89.0,89.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.55584448565,,,,,,,,48.57928291236363,,,,37.92187186475,,,31.57065671685,,,32.232046820818184,,,,71.0,25.0,24.0,22.0,22.0,24.0,24.0,25.0,30.0,30.0,29.0,31.0,34.0,35.0,30.0,30.0,30.0,26.0,33.0,36.0,34.0,38.0,37.0,35.0,38.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,25.0,22.0,21.0,23.0,22.0,21.0,17.0,14.0,17.0,20.0,20.0,22.0,23.0,23.0,22.0,8.0,6.0,4.0,5.0,6.0,6.0,6.0,14.0,13.0,12.0,18.0,30.0,28.0,17.0,19.0,21.0,15.0,32.0,34.0,26.0,36.0,32.0,24.0,35.0,59.0,60.0,61.0,61.0,62.0,63.0,63.0,64.0,64.0,65.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,33.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,34.0,34.0,34.0,32.0,30.0,31.0,32.0,33.0,34.0,36.0,37.0,38.0,39.0,40.0
BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.374525720454542,,,,,,,,,,,48.92596436618181,,,,,47.14171599536842,,,,30.10148830211111,,,33.42747379427273,,,,93.0,19.0,18.0,17.0,16.0,16.0,19.0,23.0,24.0,24.0,25.0,32.0,34.0,34.0,38.0,39.0,39.0,41.0,42.0,39.0,40.0,42.0,45.0,48.0,47.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,14.0,15.0,16.0,15.0,17.0,18.0,17.0,18.0,18.0,20.0,17.0,20.0,21.0,22.0,24.0,23.0,6.0,5.0,4.0,3.0,3.0,4.0,8.0,10.0,9.0,9.0,21.0,26.0,25.0,36.0,40.0,35.0,41.0,40.0,32.0,30.0,32.0,40.0,49.0,47.0,42.0,44.0,45.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0,56.0,57.0,58.0,58.0,59.0,60.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,29.0,31.0,33.0,34.0,36.0,38.0,39.0,43.0,46.0,49.0,53.0,54.0,56.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,73.0,74.0,74.0
BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.05173749925,,,,,23.92457001205,,,,,25.8145,,,,,,32.802,,,,,,38.02,,,77.0,24.0,25.0,26.0,27.0,28.0,30.0,31.0,33.0,34.0,36.0,37.0,38.0,40.0,41.0,43.0,45.0,46.0,47.0,47.0,50.0,52.0,52.0,54.0,54.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,23.0,25.0,26.0,26.0,28.0,29.0,32.0,35.0,35.0,37.0,37.0,39.0,42.0,43.0,44.0,44.0,24.0,25.0,27.0,28.0,30.0,31.0,33.0,35.0,37.0,39.0,41.0,42.0,44.0,46.0,48.0,50.0,52.0,54.0,56.0,58.0,60.0,62.0,64.0,66.0,18.0,20.0,22.0,24.0,25.0,27.0,29.0,31.0,32.0,33.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,43.0,44.0,45.0,45.0,46.0,39.0,39.0,39.0,39.0,38.0,42.0,46.0,50.0,51.0,51.0,52.0,53.0,53.0,55.0,59.0,59.0,60.0,59.0,58.0,62.0,63.0,65.0,65.0,66.0
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.364054805,,,,14.754869935363637,,,,14.57466750518182,,,,,16.398767048727276,,,,,16.7420968612,21.011113341599998,20.318645381733337,19.849713754666666,21.885983037899997,,19.3879619002,18.41169369225,18.16892910005,,62.0,62.0,62.0,63.0,63.0,64.0,64.0,65.0,65.0,66.0,67.0,67.0,68.0,68.0,69.0,70.0,70.0,70.0,70.0,71.0,72.0,72.0,72.0,73.0,73.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,86.0,87.0,88.0,88.0,87.0,87.0,86.0,90.0,89.0,90.0,90.0,90.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,37.0,38.0,38.0,39.0,40.0,40.0,41.0,41.0,42.0,42.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,53.0,54.0,55.0,56.0,56.0,58.0,60.0,61.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,75.0,76.0,77.0
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,74.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,77.0,78.0,78.0,79.0,79.0,78.0,78.0,77.0,76.0,78.0,78.0,78.0,78.0,76.0,77.0,76.0,75.0,74.0,74.0,74.0,74.0,73.0,73.0,72.0,76.0,80.0,80.0,81.0,82.0,80.0,76.0,75.0,71.0,77.0,77.0,78.0,79.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.0,59.0,60.0,61.0,62.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,68.0,69.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,82.0,81.0,79.0,80.0,81.0,80.0,80.0,80.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,83.0,84.0,84.0,85.0,83.0,91.0,86.0,79.0,85.0,87.0,82.0,82.0,84.0,88.0,89.0,89.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,67.0,67.0,67.0,67.0,66.0,66.0,66.0,77.0,77.0,76.0,76.0,76.0,76.0,77.0,78.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,78.0,79.0,78.0,78.0,79.0,79.0,79.0
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.609519407125,,,10.277192427615384,,,12.386075247363635,,,,11.038209861,,,,9.839735854727273,,,,,,8.16932610425,7.72142846190909,,,54.0,54.0,54.0,55.0,55.0,56.0,56.0,57.0,57.0,58.0,58.0,59.0,60.0,61.0,62.0,63.0,63.0,64.0,65.0,62.0,63.0,64.0,64.0,64.0,64.0,70.0,69.0,70.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,77.0,79.0,81.0,82.0,82.0,83.0,83.0,69.0,70.0,71.0,72.0,71.0,70.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,34.0,35.0,36.0,36.0,37.0,38.0,39.0,39.0,40.0,41.0,42.0,42.0,43.0,43.0,44.0,45.0,45.0,46.0,47.0,47.0,48.0,48.0,48.0,49.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,40.0,40.0,41.0,42.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,52.0,53.0
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.936259166449997,25.5618913188,21.09279251735,20.4518182954,19.666063711,16.63768211455,16.02072946475,16.518653853249997,14.6259480953,13.26677127925,13.091225961800001,13.444458059999999,12.504859446000001,13.112411513999998,13.0265020996,12.640205785625,11.7776459379375,10.8651427515625,11.677899826636365,,,,,92.0,69.0,69.0,70.0,70.0,71.0,72.0,72.0,73.0,74.0,74.0,75.0,75.0,76.0,77.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,94.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,99.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,100.0,100.0,100.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,47.0,48.0,49.0,50.0,50.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0,54.0,71.0,72.0,73.0,72.0,74.0,75.0,75.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,78.0,78.0,78.0,78.0,78.0
BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.385705606545455,,,,,,,46.0,64.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,67.0,69.0,68.0,69.0,70.0,70.0,69.0,69.0,68.0,68.0,68.0,69.0,70.0,70.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,48.0,48.0,51.0,53.0,55.0,52.0,52.0,48.0,47.0,51.0,53.0,54.0,54.0,82.0,82.0,82.0,83.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0,84.0,84.0,84.0,84.0,69.0,70.0,70.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0,73.0,74.0,75.0,76.0,75.0,74.0,73.0,72.0,71.0,71.0,72.0,72.0,71.0,71.0,72.0,72.0
BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.42909828081818,13.989850304272727,13.048590919999999,14.213906223090909,,,,,,,,,,,18.34659640795,17.41468643555,14.59854360815,,,16.58767427795,14.7047306955,,11.6352916285625,,,,69.0,45.0,45.0,46.0,47.0,47.0,47.0,46.0,46.0,47.0,49.0,50.0,51.0,56.0,58.0,59.0,61.0,64.0,65.0,65.0,65.0,65.0,66.0,68.0,67.0,48.0,48.0,46.0,44.0,42.0,39.0,36.0,32.0,33.0,34.0,35.0,37.0,46.0,50.0,52.0,57.0,62.0,61.0,59.0,57.0,56.0,57.0,62.0,56.0,35.0,36.0,37.0,38.0,39.0,41.0,42.0,43.0,45.0,47.0,48.0,50.0,52.0,53.0,55.0,57.0,58.0,60.0,62.0,64.0,65.0,67.0,69.0,70.0,53.0,54.0,56.0,57.0,59.0,60.0,61.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0,45.0,46.0,47.0,51.0,51.0,50.0,50.0,52.0,54.0,59.0,58.0,57.0,61.0,62.0,61.0,61.0,68.0,68.0,69.0,68.0,67.0,69.0,69.0,69.0
BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4749377489,,,,,,,,,,,,26.496412316833336,,,,,,,,,23.50608417127273,,,,,,,,77.0,71.0,70.0,71.0,72.0,73.0,74.0,75.0,75.0,76.0,76.0,77.0,80.0,81.0,81.0,82.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0,83.0,84.0,79.0,76.0,77.0,79.0,79.0,81.0,81.0,81.0,81.0,81.0,81.0,93.0,95.0,96.0,99.0,99.0,99.0,99.0,95.0,95.0,97.0,95.0,88.0,91.0,73.0,74.0,75.0,76.0,77.0,77.0,78.0,79.0,80.0,81.0,82.0,82.0,83.0,84.0,85.0,86.0,86.0,87.0,88.0,89.0,89.0,90.0,91.0,92.0,60.0,61.0,62.0,63.0,64.0,65.0,65.0,66.0,67.0,68.0,68.0,69.0,70.0,70.0,71.0,72.0,72.0,73.0,73.0,74.0,74.0,74.0,74.0,75.0,72.0,72.0,73.0,74.0,74.0,75.0,76.0,76.0,76.0,77.0,77.0,77.0,77.0,77.0,77.0,78.0,78.0,77.0,78.0,77.0,78.0,77.0,78.0,79.0
