COUNTRY/REGION,YEAR,IndicatorCode,NumericValue
GLOBAL,2012,FINANCIALHARDSHIP_MILLIONOFPOP,2081.27330469
RC_ECA,2007,FINANCIALHARDSHIP_MILLIONOFPOP,387.23411164
WB_LI,2020,FINANCIALHARDSHIP_MILLIONOFPOP,210.830843813
WB_LI,2000,FINANCIALHARDSHIP_MILLIONOFPOP,75.914104
RC_ECE,2005,FINANCIALHARDSHIP_MILLIONOFPOP,153.26980686
SEAR_W_IDN,2009,FINANCIALHARDSHIP_MILLIONOFPOP,68.220936
EMR,2020,FINANCIALHARDSHIP_MILLIONOFPOP,150.331428246
SEAR_W_IDN,2010,FINANCIALHARDSHIP_MILLIONOFPOP,581.884947848
WPR,2005,FINANCIALHARDSHIP_MILLIONOFPOP,747.003762552
WB_LMI,2011,FINANCIALHARDSHIP_MILLIONOFPOP,809.131741117
WPR,2021,FINANCIALHARDSHIP_MILLIONOFPOP,145.75648
WB_SAR,2022,FINANCIALHARDSHIP_MILLIONOFPOP,372.682071691
RC_ECLAL,2006,FINANCIALHARDSHIP_MILLIONOFPOP,122.028489868
UNSDG_EUROPE,2014,FINANCIALHARDSHIP_MILLIONOFPOP,88.583083159
SEAR_W_IDN,2012,FINANCIALHARDSHIP_MILLIONOFPOP,59.612184
AFR,2000,FINANCIALHARDSHIP_MILLIONOFPOP,303.561992561
UNSDG_EASTERNASIASOUTHEASTERNASIA,2003,FINANCIALHARDSHIP_MILLIONOFPOP,828.641271266
UNSDG_LLDC,2022,FINANCIALHARDSHIP_MILLIONOFPOP,14.288627
UNSDG_NORTHERNAMR,2013,FINANCIALHARDSHIP_MILLIONOFPOP,31.203958508
WB_MNA2,2008,FINANCIALHARDSHIP_MILLIONOFPOP,84.514632094
WB_EAP,2010,FINANCIALHARDSHIP_MILLIONOFPOP,62.998676
WPR_WO_IDN,2012,FINANCIALHARDSHIP_MILLIONOFPOP,508.934593015
UNSDG_SUBSAHARANAFRICA,2021,FINANCIALHARDSHIP_MILLIONOFPOP,36.476572
WB_LMI,2003,FINANCIALHARDSHIP_MILLIONOFPOP,849.2528593
SEAR,2008,FINANCIALHARDSHIP_MILLIONOFPOP,562.638484828
WB_EAP,2016,FINANCIALHARDSHIP_MILLIONOFPOP,65.651072
WB_ECA,2011,FINANCIALHARDSHIP_MILLIONOFPOP,113.294754978
AFR,2006,FINANCIALHARDSHIP_MILLIONOFPOP,316.38714807
UNSDG_EUROPE,2021,FINANCIALHARDSHIP_MILLIONOFPOP,90.591981244
UNSDG_NORTHERNAMR,2019,FINANCIALHARDSHIP_MILLIONOFPOP,29.190228339
WB_HI,2001,FINANCIALHARDSHIP_MILLIONOFPOP,64.254677691
WPR_WO_IDN,2018,FINANCIALHARDSHIP_MILLIONOFPOP,570.406201198
WB_MNA,2022,FINANCIALHARDSHIP_MILLIONOFPOP,43.446076
WB_LMI,2000,FINANCIALHARDSHIP_MILLIONOFPOP,764.646024313
WB_SSA,2007,FINANCIALHARDSHIP_MILLIONOFPOP,8.630589
UNSDG_WESTERNASIANORTHERNAFR,2010,FINANCIALHARDSHIP_MILLIONOFPOP,98.375759
UNSDG_EASTERNASIASOUTHEASTERNASIA,2016,FINANCIALHARDSHIP_MILLIONOFPOP,134.839488
WB_LI,2017,FINANCIALHARDSHIP_MILLIONOFPOP,223.657017609
WB_UMI,2001,FINANCIALHARDSHIP_MILLIONOFPOP,75.914237818
WB_NAR,2012,FINANCIALHARDSHIP_MILLIONOFPOP,21.625083251
